user_nickname,last_celeb_chat_date,first_celeb_chat_date,celeb_chat_period,celeb_chat_week,celeb_chat_count,avg_celeb_chat,last_week_celeb_chat_count,celeb_chat_length,celeb_chat_avg_len,churn,celeb_joinus_date,celeb_type
이쥬짱,2023-01-20,2022-09-12,131,19,1861,97.95,33,61353.0,32.9677592692101,0,before 2022-09-04,long_term
이쥬찡,2023-01-20,2022-09-20,123,18,1409,78.28,105,22527.0,15.987934705464868,0,before 2022-09-04,long_term
이지각,2023-01-20,2022-12-09,43,7,1513,216.14,305,24721.0,16.339061467283543,0,2022-12-09,mid_term
이쿠오_,2023-01-20,2022-09-04,139,20,5933,296.65,194,88642.0,14.94050227540873,0,before 2022-09-04,long_term
인아빵,2022-12-24,2022-11-04,51,8,11209,1401.12,885,110909.0,9.894638237130877,1,2022-11-04,churn_customer
일루전하트,2022-11-17,2022-10-08,41,6,174,29.0,12,1197.0,6.879310344827586,1,2022-10-08,churn_customer
일일,2023-01-20,2023-01-01,20,3,108,36.0,32,3236.0,29.962962962962962,0,2023-01-01,new_customer
일하는용형,2022-12-18,2022-12-05,14,2,11,5.5,4,61.0,5.545454545454546,1,2022-12-05,churn_customer
임건우,2022-11-20,2022-11-20,1,1,1,1.0,1,24.0,24.0,1,before 2022-09-04,churn_customer
임선비,2022-12-26,2022-09-08,110,16,41,2.56,2,1769.0,43.146341463414636,1,before 2022-09-04,churn_customer
잉금👑,2022-11-29,2022-11-29,1,1,2,2.0,2,17.0,8.5,1,before 2022-09-04,churn_customer
잉싸,2022-12-01,2022-09-15,78,12,177,14.75,24,5960.0,33.67231638418079,1,before 2022-09-04,churn_customer
잠옷냥,2022-09-19,2022-09-15,5,1,8,8.0,8,52.0,6.5,1,before 2022-09-04,churn_customer
장장고,2023-01-03,2022-12-17,18,3,321,107.0,1,2516.0,7.838006230529595,1,2022-12-17,churn_customer
재미있다ㅎ (jaemi_fun),2023-01-18,2022-12-23,27,4,45,11.25,9,1357.0,30.155555555555555,0,before 2022-09-04,new_customer
재준,2022-11-30,2022-10-14,48,7,50,7.14,3,880.0,17.6,1,2022-10-14,churn_customer
전자파요정,2022-11-16,2022-11-16,1,1,1,1.0,1,4.0,4.0,1,before 2022-09-04,churn_customer
정그람,2022-09-29,2022-09-13,17,3,39,13.0,5,511.0,13.102564102564102,1,before 2022-09-04,churn_customer
정다별이,2022-12-17,2022-09-04,105,15,16166,1077.73,10,178733.0,11.056105406408511,1,before 2022-09-04,churn_customer
정두콩,2023-01-09,2022-09-07,125,18,112,6.22,1,3296.0,29.428571428571427,1,before 2022-09-04,churn_customer
정리베,2023-01-20,2022-11-07,75,11,1690,153.64,253,28421.0,16.817159763313608,0,2022-11-07,mid_term
정민,2022-12-18,2022-11-08,41,6,3,0.5,2,35.0,11.666666666666666,1,before 2022-09-04,churn_customer
정밀추적,2022-09-12,2022-09-12,1,1,1,1.0,1,4.0,4.0,1,before 2022-09-04,churn_customer
제로_,2023-01-20,2022-09-10,133,19,2093,110.16,122,29355.0,14.025322503583373,0,before 2022-09-04,long_term
제이나,2022-11-13,2022-11-13,1,1,2,2.0,2,9.0,4.5,1,2022-11-13,churn_customer
조누니,2022-11-08,2022-11-07,2,1,54,54.0,54,496.0,9.185185185185185,1,2022-11-07,churn_customer
조따,2022-11-08,2022-11-08,1,1,2,2.0,2,15.0,7.5,1,2022-11-08,churn_customer
조이월,2022-10-16,2022-10-14,3,1,27,27.0,27,311.0,11.518518518518519,1,before 2022-09-04,churn_customer
조잘조잘  비서,2022-11-17,2022-10-06,43,7,917,131.0,589,95610.0,104.2639040348964,1,2022-10-06,churn_customer
조잘조잘_비서,2023-01-19,2022-11-17,64,10,508,50.8,40,36376.0,71.60629921259843,0,2022-11-17,mid_term
죠물,2022-12-20,2022-10-06,76,11,906,82.36,110,13181.0,14.548565121412803,1,before 2022-09-04,churn_customer
죠야끼,2023-01-20,2022-09-21,122,18,1373,76.28,111,13972.0,10.176256372906046,0,before 2022-09-04,long_term
주땃다,2022-12-16,2022-11-07,40,6,186,31.0,25,3901.0,20.973118279569892,1,2022-11-03,churn_customer
주비빔,2022-12-24,2022-10-09,77,11,367,33.36,15,5639.0,15.365122615803815,1,before 2022-09-04,churn_customer
주실,2022-10-04,2022-09-08,27,4,118,29.5,24,2857.0,24.21186440677966,1,before 2022-09-04,churn_customer
주피디,2023-01-19,2022-11-19,62,9,169,18.78,14,5745.0,33.994082840236686,0,2022-11-19,mid_term
진냐,2022-09-19,2022-09-11,9,2,440,220.0,314,2722.0,6.1863636363636365,1,before 2022-09-04,churn_customer
진라면 순한맛,2023-01-20,2022-12-02,50,8,69,8.62,18,1141.0,16.536231884057973,0,2022-12-02,mid_term
진짜물_,2023-01-20,2022-09-07,136,20,5161,258.05,265,63106.0,12.227475295485371,0,before 2022-09-04,long_term
짱예진,2022-10-31,2022-10-31,1,1,1,1.0,1,5.0,5.0,1,2022-10-31,churn_customer
쩡우입니당,2022-09-06,2022-09-06,1,1,3,3.0,3,22.0,7.333333333333333,1,before 2022-09-04,churn_customer
쫌눈,2022-12-29,2022-11-16,44,7,15,2.14,1,284.0,18.933333333333334,1,2022-11-16,churn_customer
쭈디,2022-09-27,2022-09-27,1,1,1,1.0,1,6.0,6.0,1,before 2022-09-04,churn_customer
쭈야,2023-01-19,2023-01-06,14,2,46,23.0,10,937.0,20.369565217391305,0,2023-01-05,new_customer
쮸러스❤️,2022-09-27,2022-09-27,1,1,4,4.0,4,36.0,9.0,1,before 2022-09-04,churn_customer
찡스,2023-01-20,2022-09-04,139,20,7595,379.75,271,90426.0,11.905990783410138,0,before 2022-09-04,long_term
차맹,2022-12-07,2022-09-26,73,11,5717,519.73,482,87520.0,15.308728354031835,1,before 2022-09-04,churn_customer
차여울,2023-01-20,2022-11-08,74,11,369,33.55,22,9359.0,25.363143631436316,0,2022-11-08,mid_term
차윤,2022-10-16,2022-09-07,40,6,26,4.33,4,727.0,27.96153846153846,1,before 2022-09-04,churn_customer
참다래,2022-12-20,2022-09-09,103,15,19,1.27,1,260.0,13.68421052631579,1,before 2022-09-04,churn_customer
채수민,2022-12-25,2022-09-26,91,13,134,10.31,1,2373.0,17.708955223880597,1,before 2022-09-04,churn_customer
채티_,2023-01-20,2022-12-16,36,6,1628,271.33,301,25845.0,15.875307125307126,0,2022-12-15,mid_term
챠미,2023-01-20,2022-09-19,124,18,1025,56.94,35,34229.0,33.39414634146341,0,before 2022-09-04,long_term
천땅뜌,2022-12-25,2022-10-28,59,9,159,17.67,2,1620.0,10.18867924528302,1,2022-10-28,churn_customer
천미_,2022-10-30,2022-09-12,49,7,11,1.57,2,78.0,7.090909090909091,1,before 2022-09-04,churn_customer
천사공,2023-01-20,2022-12-15,37,6,69,11.5,6,899.0,13.028985507246377,0,2022-12-14,mid_term
철구뽕알,2022-10-29,2022-10-28,2,1,25,25.0,25,368.0,14.72,1,2022-10-28,churn_customer
첫눈에뿅,2022-12-10,2022-11-08,33,5,112,22.4,2,2116.0,18.892857142857142,1,2022-11-08,churn_customer
청다령,2022-11-02,2022-09-26,38,6,76,12.67,4,1838.0,24.18421052631579,1,before 2022-09-04,churn_customer
청솔,2022-09-20,2022-09-20,1,1,3,3.0,3,49.0,16.333333333333332,1,before 2022-09-04,churn_customer
체리아씨,2023-01-20,2022-09-04,139,20,523,26.15,18,18512.0,35.395793499043975,0,before 2022-09-04,long_term
초심앙화,2022-09-08,2022-09-07,2,1,2,2.0,2,9.0,4.5,1,before 2022-09-04,churn_customer
초열,2022-09-10,2022-09-09,2,1,118,118.0,118,2501.0,21.194915254237287,1,before 2022-09-04,churn_customer
초이랑CHOIRANG,2022-10-09,2022-09-24,16,3,34,11.33,5,1033.0,30.38235294117647,1,before 2022-09-04,churn_customer
초하,2022-09-07,2022-09-07,1,1,3,3.0,3,75.0,25.0,1,before 2022-09-04,churn_customer
최고하영이,2022-11-20,2022-10-10,42,6,16,2.67,3,699.0,43.6875,1,2022-10-10,churn_customer
최연수,2022-11-15,2022-11-07,9,2,12,6.0,1,182.0,15.166666666666666,1,2022-10-16,churn_customer
츄비비,2022-11-16,2022-10-24,24,4,3,0.75,1,47.0,15.666666666666666,1,2022-09-30,churn_customer
츄잉,2022-10-23,2022-09-09,45,7,3,0.43,2,36.0,12.0,1,before 2022-09-04,churn_customer
치비,2022-09-09,2022-09-06,4,1,4,4.0,4,105.0,26.25,1,before 2022-09-04,churn_customer
치즈미,2022-12-01,2022-11-11,21,3,5,1.67,3,95.0,19.0,1,before 2022-09-04,churn_customer
치치,2022-11-06,2022-09-20,48,7,29,4.14,10,360.0,12.413793103448276,1,before 2022-09-04,churn_customer
캄나_,2022-12-31,2022-10-10,83,12,44,3.67,22,2800.0,63.63636363636363,1,before 2022-09-04,churn_customer
캉난나,2023-01-20,2022-09-07,136,20,1378,68.9,50,28186.0,20.454281567489115,0,before 2022-09-04,long_term
캐니,2023-01-19,2023-01-06,14,2,368,184.0,60,3482.0,9.46195652173913,0,2023-01-06,new_customer
커스텀,2022-09-22,2022-09-22,1,1,1,1.0,1,13.0,13.0,1,before 2022-09-04,churn_customer
쿄냥,2022-11-07,2022-11-07,1,1,3,3.0,3,54.0,18.0,1,before 2022-09-04,churn_customer
쿠마마하나비,2022-10-25,2022-10-15,11,2,34,17.0,18,697.0,20.5,1,2022-10-15,churn_customer
쿤엘,2023-01-17,2022-11-27,52,8,475,59.38,31,8651.0,18.21263157894737,0,2022-11-27,mid_term
큐세,2022-12-21,2022-09-04,109,16,188,11.75,5,2103.0,11.186170212765957,1,before 2022-09-04,churn_customer
큐코,2022-09-29,2022-09-08,22,4,13,3.25,7,148.0,11.384615384615385,1,before 2022-09-04,churn_customer
큐티프리티자몽허니블랙티,2022-11-17,2022-11-10,8,2,19,9.5,17,217.0,11.421052631578947,1,before 2022-09-04,churn_customer
크림딩고,2023-01-19,2022-09-18,124,18,185,10.28,9,3074.0,16.616216216216216,0,before 2022-09-04,long_term
클녕,2023-01-20,2023-01-18,3,1,138,138.0,138,1372.0,9.942028985507246,0,before 2022-09-04,new_customer
키롱,2022-12-07,2022-09-04,95,14,4619,329.93,109,64871.0,14.04438190084434,1,before 2022-09-04,churn_customer
키주,2022-09-18,2022-09-09,10,2,15,7.5,2,253.0,16.866666666666667,1,before 2022-09-04,churn_customer
킹연시,2022-12-20,2022-11-01,50,8,415,51.88,75,17320.0,41.734939759036145,1,2022-11-01,churn_customer
타민,2022-11-28,2022-10-23,37,6,165,27.5,10,4314.0,26.145454545454545,1,2022-10-23,churn_customer
토돌,2022-10-17,2022-09-20,28,4,3,0.75,2,82.0,27.333333333333332,1,before 2022-09-04,churn_customer
토우코,2023-01-13,2022-09-08,128,19,249,13.11,7,12994.0,52.18473895582329,0,before 2022-09-04,long_term
티미드ASMR,2022-12-31,2022-09-04,119,17,192,11.29,9,3404.0,17.729166666666668,1,before 2022-09-04,churn_customer
티오,2022-11-02,2022-11-02,1,1,6,6.0,6,45.0,7.5,1,2022-11-02,churn_customer
티오네,2022-10-27,2022-10-27,1,1,2,2.0,2,20.0,10.0,1,2022-10-27,churn_customer
파트너십 매니저 왕찬욱,2023-01-17,2022-12-14,35,5,38,7.6,2,1939.0,51.026315789473685,0,2022-12-14,new_customer
팬심 NPC🧚🏻‍♀️,2022-12-12,2022-09-05,99,15,53,3.53,4,3758.0,70.90566037735849,1,before 2022-09-04,churn_customer
팬심 상담사언니,2022-12-09,2022-09-06,95,14,37,2.64,4,362.0,9.783783783783784,1,before 2022-09-04,churn_customer
팬심M in 지스타,2022-11-28,2022-11-16,13,2,10,5.0,1,337.0,33.7,1,2022-11-14,churn_customer
팬심M 궁물&테스트방💬,2023-01-16,2023-01-05,12,2,45,22.5,2,887.0,19.711111111111112,0,before 2022-09-04,new_customer
팬심M 궁물&테스트방😲,2023-01-04,2022-09-08,119,17,105,6.18,5,3375.0,32.142857142857146,1,before 2022-09-04,churn_customer
팬심M 염원하기🙏,2022-12-09,2022-11-08,32,5,24,4.8,3,1145.0,47.708333333333336,1,2022-11-08,churn_customer
팬심M 요원방,2022-11-18,2022-11-14,5,1,27,27.0,27,621.0,23.0,1,2022-11-14,churn_customer
팬심M 파트너십 매니저,2023-01-02,2022-09-15,110,16,39,2.44,17,4047.0,103.76923076923077,1,before 2022-09-04,churn_customer
