user_nickname,last_celeb_chat_date,first_celeb_chat_date,celeb_chat_period,celeb_chat_week,celeb_chat_count,avg_celeb_chat,last_week_celeb_chat_count,celeb_chat_length,celeb_chat_avg_len,churn,celeb_joinus_date,celeb_type,last_fan_chat_date,first_fan_chat_date,fan_chat_period,fan_chat_week,fan_chat_count,avg_fan_chat,last_week_fan_chat_count,sticker_count,Total_sticker_sales,avg_sticker_price,churn_proba
김향단,2023-01-20,2022-09-28,115,17,917,53.94,17,14598.0,15.919302071973828,0,2022-09-28,long_term,2023-01-20,2022-09-28,115.0,17.0,2065.0,121.47,24.0,6.0,190.0,31.7,0.058699785812262754
김홀릭,2023-01-20,2022-09-13,130,19,2131,112.16,132,29562.0,13.872360394181136,0,before 2022-09-04,long_term,2023-01-20,2022-09-12,131.0,19.0,4513.0,237.53,197.0,24.0,760.0,31.7,0.007770398588438139
깅예솔,2022-11-20,2022-10-28,24,4,284,71.0,11,3039.0,10.700704225352112,1,2022-10-28,churn_customer,2022-12-27,2022-10-28,61.0,9.0,7151.0,794.56,2.0,0.0,0.0,0.0,0.9854449060372892
깐초오,2022-10-13,2022-10-13,1,1,1,1.0,1,4.0,4.0,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566317833553915
깡마,2022-11-11,2022-10-12,31,5,3,0.6,1,6.0,2.0,1,before 2022-09-04,churn_customer,2023-01-18,2022-10-12,99.0,15.0,30.0,2.0,2.0,0.0,0.0,0.0,0.9869337535793756
꼰네,2022-09-23,2022-09-10,14,2,5,2.5,1,70.0,14.0,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628006501040491
꾸야,2023-01-20,2023-01-08,13,2,106,53.0,60,3582.0,33.79245283018868,0,2023-01-07,new_customer,2023-01-20,2023-01-08,13.0,2.0,182.0,91.0,108.0,7.0,143.0,20.4,0.11973118595993977
꿀빵지,2022-11-25,2022-11-14,12,2,396,198.0,283,4968.0,12.545454545454543,1,2022-11-07,churn_customer,2022-11-25,2022-11-14,12.0,2.0,404.0,202.0,300.0,0.0,0.0,0.0,0.8761866317051134
뀨알2,2023-01-19,2022-12-15,36,6,76,12.67,23,1316.0,17.31578947368421,0,2022-12-15,mid_term,2023-01-19,2022-12-15,36.0,6.0,123.0,20.5,41.0,1.0,10.0,10.0,0.18210735068401598
나나초_,2022-11-10,2022-11-10,1,1,2,2.0,2,24.0,12.0,1,before 2022-09-04,churn_customer,2022-12-06,2022-10-30,38.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.9362580077927649
나는루다,2023-01-20,2022-10-19,94,14,3536,252.57,100,29285.0,8.28195701357466,0,2022-10-19,mid_term,2023-01-20,2022-10-19,94.0,14.0,10701.0,764.36,275.0,7.0,230.0,32.9,0.007556706058992958
나는야꼬등어,2023-01-20,2022-09-04,139,20,1980,99.0,140,32004.0,16.163636363636364,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,8665.0,433.25,413.0,27.0,2023.0,74.9,0.002978777492421202
나륜なりゅん,2022-12-16,2022-12-13,4,1,18,18.0,18,123.0,6.833333333333333,1,before 2022-09-04,churn_customer,2022-12-16,2022-12-13,4.0,1.0,22.0,22.0,22.0,0.0,0.0,0.0,0.8177339351069344
나리,2023-01-09,2022-11-17,54,8,34,4.25,4,966.0,28.41176470588235,1,2022-11-17,churn_customer,2023-01-10,2022-11-17,55.0,8.0,28.0,3.5,1.0,0.0,0.0,0.0,0.9605814940059294
나브,2022-10-19,2022-10-19,1,1,2,2.0,2,139.0,69.5,1,before 2022-09-04,churn_customer,2022-10-19,2022-09-05,45.0,7.0,38.0,5.43,6.0,2.0,40.0,20.0,0.902345361525033
나오,2022-11-10,2022-09-12,60,9,173,19.22,2,3167.0,18.30635838150289,1,before 2022-09-04,churn_customer,2022-12-18,2022-09-12,98.0,14.0,420.0,30.0,2.0,2.0,40.0,20.0,0.9490481347180302
나윤,2023-01-20,2022-09-06,137,20,3936,196.8,127,67079.0,17.04242886178862,0,before 2022-09-04,long_term,2023-01-18,2022-09-06,135.0,20.0,879.0,43.95,29.0,6.0,60.0,10.0,0.003454389092416087
나임,2022-10-06,2022-09-19,18,3,30,10.0,5,453.0,15.1,1,before 2022-09-04,churn_customer,2023-01-04,2022-09-19,108.0,16.0,75.0,4.69,1.0,0.0,0.0,0.0,0.9928972350786381
나코,2022-09-27,2022-09-27,1,1,1,1.0,1,65.0,65.0,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8553910624857992
낙찌,2023-01-20,2022-10-07,106,16,1534,95.88,16,46476.0,30.297262059973924,0,2022-09-29,long_term,2023-01-20,2022-10-07,106.0,16.0,3971.0,248.19,33.0,9.0,490.0,54.4,0.06302972073633842
난바다,2022-09-17,2022-09-17,1,1,2,2.0,2,28.0,14.0,1,before 2022-09-04,churn_customer,2022-11-04,2022-09-17,49.0,7.0,11.0,1.57,3.0,0.0,0.0,0.0,0.9810255334721222
난현,2023-01-20,2022-09-16,127,19,497,26.16,68,5880.0,11.830985915492958,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,907.0,45.35,137.0,0.0,0.0,0.0,0.09183309938559182
남극석,2023-01-18,2022-12-10,40,6,150,25.0,18,3315.0,22.1,0,2022-12-09,mid_term,2023-01-18,2022-12-10,40.0,6.0,299.0,49.83,28.0,0.0,0.0,0.0,0.04386916628089219
냥갱,2022-11-09,2022-11-09,1,1,1,1.0,1,7.0,7.0,1,before 2022-09-04,churn_customer,2022-11-10,2022-09-04,68.0,10.0,6.0,0.6,1.0,0.0,0.0,0.0,0.9725039723640472
냥무너,2022-11-27,2022-09-04,85,13,366,28.15,22,5192.0,14.185792349726777,1,before 2022-09-04,churn_customer,2022-11-27,2022-09-04,85.0,13.0,281.0,21.62,24.0,0.0,0.0,0.0,0.8499511348240483
냥슬,2023-01-16,2022-12-06,42,6,280,46.67,28,6403.0,22.867857142857144,0,2022-12-06,mid_term,2023-01-20,2022-12-07,45.0,7.0,623.0,89.0,66.0,7.0,350.0,50.0,0.026320619934492518
너구리셀,2022-09-05,2022-09-04,2,1,3,3.0,3,87.0,29.0,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933139204627974
너구리셀2,2022-09-19,2022-09-05,15,3,10,3.33,1,161.0,16.1,1,before 2022-09-04,churn_customer,2022-09-18,2022-09-05,14.0,2.0,12.0,6.0,3.0,0.0,0.0,0.0,0.9858648204500915
네넴이,2023-01-20,2022-09-04,139,20,197,9.85,4,2871.0,14.573604060913706,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,314.0,15.7,5.0,0.0,0.0,0.0,0.17720101104724564
네므님,2023-01-17,2022-09-12,128,19,6091,320.58,45,182529.0,29.96700049252996,0,before 2022-09-04,long_term,2023-01-17,2022-09-12,128.0,19.0,9500.0,500.0,99.0,264.0,4977.0,18.9,0.2559182289069712
네온달,2022-12-11,2022-12-11,1,1,1,1.0,1,11.0,11.0,1,2022-12-11,churn_customer,2023-01-02,2022-09-05,120.0,18.0,19.0,1.06,2.0,0.0,0.0,0.0,0.9823091393322257
넴케,2023-01-20,2022-09-10,133,19,164,8.63,9,2024.0,12.341463414634148,0,before 2022-09-04,long_term,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1513877151504037
농농,2022-09-05,2022-09-05,1,1,5,5.0,5,62.0,12.4,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9584258820892959
눈누남규,2022-12-24,2022-09-07,109,16,56,3.5,3,1624.0,29.0,1,before 2022-09-04,churn_customer,2023-01-07,2022-09-08,122.0,18.0,57.0,3.17,1.0,0.0,0.0,0.0,0.9227223088258945
뉴나랑,2023-01-20,2022-09-09,134,20,1193,59.65,63,41558.0,34.834870075440065,0,before 2022-09-04,long_term,2023-01-20,2022-09-09,134.0,20.0,2286.0,114.3,110.0,22.0,1241.0,56.4,0.0060874580584904005
다정님,2022-09-15,2022-09-05,11,2,37,18.5,10,611.0,16.513513513513512,1,before 2022-09-04,churn_customer,2022-09-15,2022-09-05,11.0,2.0,76.0,38.0,12.0,1.0,100.0,100.0,0.834308487692785
단,2022-11-15,2022-10-15,32,5,238,47.6,43,2576.0,10.823529411764708,1,2022-10-15,churn_customer,2022-12-07,2022-10-15,54.0,8.0,183.0,22.88,8.0,0.0,0.0,0.0,0.8656894865244998
단아몽,2023-01-20,2022-12-28,24,4,629,157.25,169,8427.0,13.39745627980922,0,2022-12-28,new_customer,2023-01-19,2022-12-28,23.0,4.0,590.0,147.5,125.0,0.0,0.0,0.0,0.1170423518508877
단여울,2023-01-19,2022-10-04,108,16,788,49.25,13,8349.0,10.59517766497462,0,2022-10-04,long_term,2023-01-20,2022-10-04,109.0,16.0,895.0,55.94,20.0,0.0,0.0,0.0,0.08230827332361206
단팡팡,2023-01-14,2022-10-19,88,13,174,13.38,8,4845.0,27.844827586206897,0,before 2022-09-04,mid_term,2023-01-15,2022-09-19,119.0,17.0,241.0,14.18,8.0,0.0,0.0,0.0,0.0736600835734422
단풍비,2022-10-27,2022-09-11,47,7,37,5.29,1,431.0,11.64864864864865,1,before 2022-09-04,churn_customer,2022-10-26,2022-09-11,46.0,7.0,98.0,14.0,1.0,1.0,30.0,30.0,0.9923358743327934
달비,2023-01-19,2022-12-24,27,4,145,36.25,25,2997.0,20.66896551724138,0,2022-12-24,new_customer,2023-01-19,2022-12-24,27.0,4.0,193.0,48.25,51.0,0.0,0.0,0.0,0.26776039371402227
달비니,2023-01-20,2023-01-06,15,3,165,55.0,53,2066.0,12.52121212121212,0,2023-01-06,new_customer,2023-01-20,2023-01-06,15.0,3.0,301.0,100.33,65.0,0.0,0.0,0.0,0.08210356336681568
담아서,2022-10-10,2022-09-11,30,5,11,2.2,3,181.0,16.454545454545453,1,before 2022-09-04,churn_customer,2023-01-04,2022-09-07,120.0,18.0,15.0,0.83,2.0,0.0,0.0,0.0,0.9170080726874261
당보,2022-11-18,2022-10-23,27,4,7,1.75,6,137.0,19.571428571428573,1,before 2022-09-04,churn_customer,2022-12-13,2022-11-14,30.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.9213814318703011
대마왕,2023-01-17,2022-09-05,135,20,19,0.95,1,196.0,10.31578947368421,0,before 2022-09-04,long_term,2022-11-29,2022-11-13,17.0,3.0,10.0,3.33,8.0,0.0,0.0,0.0,0.2564048938972371
대마왕2,2022-09-19,2022-09-11,9,2,7,3.5,1,15.0,2.142857142857143,1,before 2022-09-04,churn_customer,2022-09-12,2022-09-11,2.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.9828667782529308
대마왕셀,2022-11-29,2022-09-18,73,11,9,0.82,1,74.0,8.222222222222221,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.9715217082462266
대장나무,2022-12-22,2022-09-04,110,16,52,3.25,2,749.0,14.403846153846152,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84781708255291
덴케이,2022-09-08,2022-09-05,4,1,7,7.0,7,98.0,14.0,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9132421022393737
뎰즈,2022-10-13,2022-10-13,1,1,1,1.0,1,15.0,15.0,1,before 2022-09-04,churn_customer,2023-01-17,2022-10-02,108.0,16.0,44.0,2.75,5.0,0.0,0.0,0.0,0.9801832656260524
도라선장,2023-01-20,2022-09-06,137,20,3653,182.65,338,48143.0,13.179030933479332,0,before 2022-09-04,long_term,2023-01-20,2022-09-06,137.0,20.0,7458.0,372.9,817.0,9.0,213.0,23.7,0.021808559054743788
도롱챠,2023-01-20,2022-09-04,139,20,2688,134.4,218,49948.0,18.58184523809524,0,2022-12-14,long_term,2023-01-20,2022-12-14,38.0,6.0,2774.0,462.33,404.0,4.0,88.0,22.0,0.022061191717234627
도하,2023-01-20,2023-01-19,2,1,11,11.0,11,141.0,12.818181818181818,0,2023-01-19,new_customer,2023-01-20,2023-01-19,2.0,1.0,26.0,26.0,26.0,0.0,0.0,0.0,0.46204282136777136
도한별,2022-12-12,2022-11-17,26,4,7,1.75,1,58.0,8.285714285714286,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840214709026153
동짱이야,2022-10-16,2022-10-16,1,1,7,7.0,7,855.0,122.14285714285714,1,before 2022-09-04,churn_customer,2022-10-16,2022-09-14,33.0,5.0,4.0,0.8,3.0,0.0,0.0,0.0,0.8616885654374901
두부_한모,2022-10-31,2022-10-15,17,3,33,11.0,1,418.0,12.666666666666666,1,before 2022-09-04,churn_customer,2022-10-31,2022-10-15,17.0,3.0,42.0,14.0,1.0,0.0,0.0,0.0,0.9906907909371905
두부과자,2023-01-01,2023-01-01,1,1,2,2.0,2,16.0,8.0,1,2023-01-01,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9718837014033617
드엉이,2023-01-17,2022-09-07,133,19,1955,102.89,330,41911.0,21.437851662404093,0,2022-12-31,long_term,2023-01-20,2022-12-31,21.0,3.0,745.0,248.33,101.0,0.0,0.0,0.0,0.0405202940926219
디롬,2023-01-18,2022-09-16,125,18,311,17.28,5,3566.0,11.466237942122186,0,before 2022-09-04,long_term,2023-01-20,2022-09-16,127.0,19.0,489.0,25.74,12.0,0.0,0.0,0.0,0.0912850205420533
딜플,2023-01-11,2022-12-27,16,3,20,6.67,3,650.0,32.5,1,2022-12-27,churn_customer,2023-01-13,2022-12-27,18.0,3.0,31.0,10.33,7.0,0.0,0.0,0.0,0.9596211621422752
따스히,2023-01-17,2022-11-07,72,11,5,0.45,2,87.0,17.4,0,2022-11-07,mid_term,2023-01-17,2022-12-22,27.0,4.0,10.0,2.5,3.0,0.0,0.0,0.0,0.4286086714230002
따찌,2023-01-20,2022-11-05,77,11,1518,138.0,61,23648.0,15.578392621870885,0,before 2022-09-04,mid_term,2023-01-20,2022-09-04,139.0,20.0,1895.0,94.75,39.0,17.0,1460.0,85.9,0.006907179588332524
딸기딸기걸🍓,2022-10-06,2022-09-04,33,5,3029,605.8,938,53031.0,17.507758336084517,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8430794424262985
땅콩이야,2022-11-02,2022-09-16,48,7,12505,1786.43,658,154239.0,12.334186325469812,1,before 2022-09-04,churn_customer,2022-12-06,2022-09-16,82.0,12.0,17818.0,1484.83,1.0,3.0,210.0,70.0,0.9887752248812175
뚜뚜뚜도,2023-01-18,2022-10-18,93,14,105,7.5,44,1156.0,11.00952380952381,0,2022-10-18,mid_term,2023-01-18,2022-10-18,93.0,14.0,478.0,34.14,64.0,0.0,0.0,0.0,0.15259951900704444
뚜랑이,2022-10-16,2022-10-16,1,1,2,2.0,2,4.0,2.0,1,2022-10-16,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210402743794255
띠닝뀨,2022-12-31,2022-12-17,15,3,21,7.0,3,293.0,13.952380952380953,1,2022-12-16,churn_customer,2023-01-08,2022-12-17,23.0,4.0,30.0,7.5,1.0,0.0,0.0,0.0,0.9950786195646671
띵글,2022-10-12,2022-10-11,2,1,36,36.0,36,700.0,19.444444444444443,1,2022-10-09,churn_customer,2022-12-22,2022-10-11,73.0,11.0,91.0,8.27,1.0,0.0,0.0,0.0,0.9771264318020774
라나❤,2023-01-20,2022-12-07,45,7,2382,340.29,348,44988.0,18.88664987405541,0,2022-12-07,mid_term,2023-01-20,2022-12-07,45.0,7.0,6273.0,896.14,707.0,2.0,60.0,30.0,0.05699021799848576
라르하스,2023-01-16,2022-10-21,88,13,78,6.0,1,1803.0,23.115384615384617,0,2022-10-21,mid_term,2023-01-16,2022-10-21,88.0,13.0,131.0,10.08,2.0,0.0,0.0,0.0,0.5488861375160186
라마1004,2023-01-20,2022-09-04,139,20,3122,156.1,274,45964.0,14.722613709160797,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,9193.0,459.65,644.0,7.0,290.0,41.4,0.020509984752655516
라이네라(LiNela),2022-11-15,2022-09-07,70,10,32,3.2,4,590.0,18.4375,1,before 2022-09-04,churn_customer,2022-11-15,2022-09-06,71.0,11.0,22.0,2.0,4.0,0.0,0.0,0.0,0.973819402667408
라코타,2023-01-10,2022-12-30,12,2,91,45.5,6,1569.0,17.24175824175824,1,2022-12-22,churn_customer,2023-01-20,2022-12-30,22.0,4.0,186.0,46.5,2.0,0.0,0.0,0.0,0.9502459198167844
라테양,2022-11-04,2022-10-05,31,5,914,182.8,294,16140.0,17.65864332603939,1,2022-10-05,churn_customer,2022-11-07,2022-10-05,34.0,5.0,1112.0,222.4,216.0,0.0,0.0,0.0,0.877231218513101
랄라숑,2023-01-15,2022-11-18,59,9,175,19.44,4,2234.0,12.765714285714283,0,2022-11-18,mid_term,2023-01-19,2022-11-18,63.0,9.0,315.0,35.0,4.0,0.0,0.0,0.0,0.5097494566956351
람이,2022-12-25,2022-12-07,19,3,555,185.0,47,8112.0,14.616216216216216,1,2022-12-07,churn_customer,2022-12-14,2022-12-07,8.0,2.0,15.0,7.5,13.0,0.0,0.0,0.0,0.9552208896507707
러블리쥬쥬,2023-01-20,2022-09-04,139,20,4181,209.05,180,102946.0,24.622339153312605,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,12239.0,611.95,448.0,1.0,10.0,10.0,0.015857017776211558
레이지 블루디,2022-12-31,2022-10-13,80,12,588,49.0,6,55220.0,93.91156462585036,1,2022-10-13,churn_customer,2023-01-19,2022-10-13,99.0,15.0,921.0,61.4,7.0,0.0,0.0,0.0,0.6849431208135179
렛냣,2022-10-17,2022-10-17,1,1,2,2.0,2,68.0,34.0,1,2022-10-16,churn_customer,2022-11-17,2022-10-16,33.0,5.0,10.0,2.0,1.0,1.0,50.0,50.0,0.9757043418359098
로나딩,2023-01-19,2023-01-02,18,3,15,5.0,5,162.0,10.8,0,before 2022-09-04,new_customer,2023-01-19,2022-10-18,94.0,14.0,16.0,1.14,8.0,0.0,0.0,0.0,0.45676757539325447
로라슈,2023-01-20,2022-10-14,99,15,816,54.4,7,48422.0,59.34068627450981,0,2022-10-14,mid_term,2022-12-05,2022-10-18,49.0,7.0,969.0,138.43,24.0,0.0,0.0,0.0,0.1503773149334653
로복,2023-01-20,2022-09-05,138,20,704,35.2,54,9375.0,13.316761363636363,0,before 2022-09-04,long_term,2023-01-20,2022-10-23,90.0,13.0,718.0,55.23,27.0,3.0,55.0,18.3,0.30019295617617364
로즈쨈,2023-01-19,2022-10-18,94,14,2578,184.14,37,33917.0,13.156322730799069,0,2022-10-18,mid_term,2023-01-20,2022-10-18,95.0,14.0,3853.0,275.21,21.0,15.0,722.0,48.1,0.16131808874082776
료아,2023-01-14,2022-11-09,67,10,57,5.7,3,413.0,7.245614035087719,0,2022-11-09,mid_term,2023-01-14,2022-11-09,67.0,10.0,83.0,8.3,8.0,1.0,10.0,10.0,0.2992826994013834
료아😈_Vtuber,2022-12-21,2022-12-17,5,1,2,2.0,2,26.0,13.0,1,2022-12-17,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9280937784638933
루엘(Ruel),2023-01-20,2022-09-04,139,20,2803,140.15,53,70845.0,25.27470567249376,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,6266.0,313.3,154.0,1.0,50.0,50.0,0.005831390350077446
루코,2022-12-31,2022-09-26,97,14,621,44.36,51,7370.0,11.867954911433172,1,before 2022-09-04,churn_customer,2023-01-12,2022-09-25,110.0,16.0,1752.0,109.5,2.0,4.0,105.0,26.2,0.9849028776562408
륭찌🙊,2023-01-19,2023-01-07,13,2,62,31.0,11,1024.0,16.516129032258064,0,before 2022-09-04,new_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30846246845095315
르릉이,2022-11-23,2022-09-14,71,11,1137,103.36,56,11598.0,10.200527704485488,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8625159140931248
리룽이,2022-10-23,2022-10-01,23,4,3,0.75,1,32.0,10.666666666666666,1,before 2022-09-04,churn_customer,2022-10-23,2022-10-01,23.0,4.0,5.0,1.25,2.0,0.0,0.0,0.0,0.986207905763992
리리치,2023-01-20,2022-10-08,105,15,2233,148.87,67,35016.0,15.68114643976713,0,2022-10-05,mid_term,2023-01-20,2022-10-07,106.0,16.0,4372.0,273.25,159.0,14.0,1218.0,87.0,0.0020362498999606142
리리하,2022-12-21,2022-12-12,10,2,19,9.5,8,688.0,36.21052631578947,1,2022-12-12,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9641406646663538
리리하 RIRIHA,2023-01-10,2023-01-10,1,1,1,1.0,1,43.0,43.0,1,before 2022-09-04,churn_customer,2023-01-10,2022-12-12,30.0,5.0,17.0,3.4,1.0,0.0,0.0,0.0,0.9887104387402669
리믿,2022-11-28,2022-10-09,51,8,815,101.88,56,10688.0,13.114110429447852,1,before 2022-09-04,churn_customer,2022-12-02,2022-09-07,87.0,13.0,1189.0,91.46,39.0,12.0,4820.0,401.7,0.5204692909106
리시안,2022-09-25,2022-09-25,1,1,6,6.0,6,48.0,8.0,1,before 2022-09-04,churn_customer,2022-09-25,2022-09-25,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.8601991795225044
리요치,2023-01-20,2022-11-24,58,9,76,8.44,6,1987.0,26.144736842105264,0,2022-11-21,mid_term,2023-01-18,2022-11-24,56.0,8.0,137.0,17.12,7.0,0.0,0.0,0.0,0.19178929222603025
릴리작가,2022-12-28,2022-10-11,79,12,274,22.83,3,2844.0,10.37956204379562,1,2022-10-11,churn_customer,2023-01-13,2022-10-11,95.0,14.0,337.0,24.07,2.0,9.0,1000.0,111.1,0.9221083104838284
마녀록리,2022-11-15,2022-09-04,73,11,115,10.45,9,1882.0,16.36521739130435,1,before 2022-09-04,churn_customer,2022-11-16,2022-09-04,74.0,11.0,96.0,8.73,10.0,0.0,0.0,0.0,0.9138698621260529
마녀페퍼,2023-01-17,2022-09-04,136,20,931,46.55,2,14171.0,15.22126745435016,0,before 2022-09-04,long_term,2023-01-16,2022-09-04,135.0,20.0,1572.0,78.6,2.0,1.0,100.0,100.0,0.29717595227860233
마레 플로스,2022-12-12,2022-12-07,6,1,17,17.0,17,293.0,17.235294117647058,1,before 2022-09-04,churn_customer,2022-12-14,2022-09-23,83.0,12.0,23.0,1.92,12.0,0.0,0.0,0.0,0.8660551861423178
마이민,2023-01-15,2022-10-29,79,12,1045,87.08,35,18224.0,17.439234449760765,0,2022-10-29,mid_term,2023-01-15,2022-10-29,79.0,12.0,8510.0,709.17,274.0,3.0,250.0,83.3,0.08384474798137787
만능방송 manneung,2022-12-22,2022-10-29,55,8,29,3.62,1,1428.0,49.241379310344826,1,before 2022-09-04,churn_customer,2022-11-19,2022-10-29,22.0,4.0,27.0,6.75,24.0,0.0,0.0,0.0,0.9692889726504288
만별린,2022-09-07,2022-09-07,1,1,1,1.0,1,4.0,4.0,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566317833553915
말랑복숭아,2023-01-20,2022-09-07,136,20,13572,678.6,667,191580.0,14.1158267020336,0,before 2022-09-04,long_term,2023-01-20,2022-09-07,136.0,20.0,12552.0,627.6,521.0,10.0,345.0,34.5,0.06976766245432363
망을,2022-12-14,2022-11-28,17,3,102,34.0,61,1120.0,10.980392156862743,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9250785493347626
망을!,2022-11-23,2022-11-23,1,1,6,6.0,6,62.0,10.333333333333334,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848921304345304
망을2,2023-01-02,2022-12-20,14,2,35,17.5,15,486.0,13.885714285714286,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167551289243837
망을cel01,2022-12-05,2022-12-05,1,1,54,54.0,54,480.0,8.88888888888889,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9255306433768689
망을입니다,2022-12-09,2022-12-09,1,1,21,21.0,21,171.0,8.142857142857142,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9262909259664528
매드해터,2023-01-20,2022-09-04,139,20,819,40.95,95,10470.0,12.783882783882785,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,3533.0,176.65,272.0,2.0,150.0,75.0,0.03374220723084684
멀미맛,2023-01-11,2022-09-20,114,17,34,2.0,6,308.0,9.058823529411764,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8886364924100011
멋진승혀니,2022-10-28,2022-10-28,1,1,6,6.0,6,72.0,12.0,1,2022-10-28,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9156561057673066
메메,2023-01-20,2022-09-14,129,19,34,1.79,3,403.0,11.852941176470589,0,before 2022-09-04,long_term,2022-10-19,2022-09-14,36.0,6.0,5.0,0.83,1.0,0.0,0.0,0.0,0.5723545260082263
멘시 GMENCY,2023-01-20,2022-11-03,79,12,374,31.17,28,9859.0,26.36096256684492,0,2022-10-27,mid_term,2023-01-20,2022-11-03,79.0,12.0,628.0,52.33,35.0,1.0,100.0,100.0,0.0523834896958407
모구,2023-01-20,2022-10-06,107,16,5554,347.12,20,90250.0,16.24954987396471,0,before 2022-09-04,long_term,2023-01-20,2022-09-06,137.0,20.0,12029.0,601.45,33.0,0.0,0.0,0.0,0.20070682246475827
모규,2022-10-06,2022-09-06,31,5,2341,468.2,376,35588.0,15.202050405809484,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9058518197703116
모모,2023-01-05,2022-11-09,58,9,44,4.89,2,923.0,20.977272727272727,1,2022-11-08,churn_customer,2023-01-12,2022-11-09,65.0,10.0,107.0,10.7,1.0,1.0,100.0,100.0,0.980431676469164
무소속해피,2022-12-07,2022-11-25,13,2,8,4.0,4,45.0,5.625,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9513892525740304
문맘,2022-12-25,2022-11-24,32,5,113,22.6,64,1224.0,10.831858407079649,1,2022-11-24,churn_customer,2023-01-18,2022-11-24,56.0,8.0,119.0,14.88,1.0,1.0,10.0,10.0,0.9855909533294016
문식혜,2022-09-06,2022-09-06,1,1,3,3.0,3,17.0,5.666666666666667,1,before 2022-09-04,churn_customer,2022-09-06,2022-09-06,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.9812809148257934
문혜린,2022-10-02,2022-09-20,13,2,140,70.0,25,1388.0,9.914285714285716,1,before 2022-09-04,churn_customer,2022-09-27,2022-09-21,7.0,1.0,91.0,91.0,91.0,0.0,0.0,0.0,0.8203883688974195
뮤르르,2023-01-18,2022-09-04,137,20,349,17.45,46,6757.0,19.36103151862464,0,before 2022-09-04,long_term,2023-01-18,2022-09-04,137.0,20.0,434.0,21.7,29.0,0.0,0.0,0.0,0.09966804323673882
