chat_room_id,last_fan_chat_date,first_fan_chat_date,fan_chat_period,fan_chat_week,fan_chat_count,avg_fan_chat,last_week_fan_chat_count,sticker_count,Total_sticker_sales,avg_sticker_price,user_nickname
sendbird_group_channel_75307453_bcfc5888c09e6eeb4274875cc427cf66f2b08ed7,2023-01-20,2022-09-06,137.0,20.0,131.0,6.55,2.0,0.0,0.0,0.0,오현민
sendbird_group_channel_75326813_0c4aaffb23e70d2d610ec5da5605e31226d5a751,2023-01-01,2022-09-04,120.0,18.0,127.0,7.06,2.0,0.0,0.0,0.0,유가영
sendbird_group_channel_75798433_5561e5a7c21df22f33eeaf4be1b5b191a7622888,2023-01-19,2022-10-22,90.0,13.0,172.0,13.23,1.0,1.0,10.0,10.0,폰정아
sendbird_group_channel_75944811_5d4675cc28e34e0b8cdcd952ecdc15558655c814,2023-01-03,2022-10-09,87.0,13.0,338.0,26.0,1.0,0.0,0.0,0.0,유일님_
sendbird_group_channel_76141856_1d8bfc20fc50f56359348895c454b04ed848c6a5,2022-11-20,2022-11-20,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
sendbird_group_channel_76960569_2dadb8267a23161b8b57dc167b99803d7236e86b,2022-10-19,2022-10-19,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
sendbird_group_channel_76965650_d3ad534b8e37e1a4d09de0db0d7acaf04b7b31f7,2023-01-20,2022-09-04,139.0,20.0,2067.0,103.35,96.0,0.0,0.0,0.0,죠야끼
sendbird_group_channel_77275915_998519e76198c4b12aeddea1e8ec73fd7da377da,2022-10-15,2022-10-15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
sendbird_group_channel_77332933_3b4f22b6da848f11b169bff078e34726d9030c46,2023-01-18,2023-01-03,16.0,3.0,2.0,0.67,1.0,0.0,0.0,0.0,
sendbird_group_channel_77360553_c59da396b3e3b115b04828962b5a605074a0529b,2023-01-20,2022-09-04,139.0,20.0,907.0,45.35,137.0,0.0,0.0,0.0,난현
sendbird_group_channel_77451646_b88ef2ee247b4bd7cad654d160de6e54e9c18862,2022-10-15,2022-10-15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,장미🌷
sendbird_group_channel_77457966_92a1507b6daa69c8dc01a8e83f91a99e18e21c54,2023-01-08,2022-09-06,125.0,18.0,15.0,0.83,1.0,0.0,0.0,0.0,쮸러스❤️
sendbird_group_channel_77504696_811c72261d220a4ef7e6526cf4612b59fd8643dd,2023-01-16,2023-01-16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,⭐️서하⭐️
sendbird_group_channel_77617518_866566bf4d91e401ede7a2b78b88d086389839b1,2023-01-20,2022-09-04,139.0,20.0,1895.0,94.75,39.0,17.0,1460.0,85.9,따찌
sendbird_group_channel_77745441_3c94a08935583f2a280294795e1d561b67c7778a,2022-12-01,2022-10-30,33.0,5.0,89.0,17.8,2.0,0.0,0.0,0.0,에그롤
sendbird_group_channel_77749652_9ffb77d8a6df1479ec694c99b651646da8db9cd8,2022-10-19,2022-09-14,36.0,6.0,5.0,0.83,1.0,0.0,0.0,0.0,메메
sendbird_group_channel_77799881_ca15c03aa5583120fd4cc60bd27a16399a6ad28d,2022-12-28,2022-12-28,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
sendbird_group_channel_78309291_d16099a89d0ae4095cd67fcaaa29b37a9b75723e,2022-12-07,2022-09-04,95.0,14.0,2024.0,144.57,2.0,0.0,0.0,0.0,유나몽의블루베리
sendbird_group_channel_78325613_67e40199571bec8401854231cdf6a62e40cb985c,2022-09-19,2022-09-19,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
sendbird_group_channel_78328510_3153e84ad8f8080be70a85e1895b2e0b54b92e3a,2022-12-05,2022-09-04,93.0,14.0,257.0,18.36,1.0,1.0,100.0,100.0,큐세
sendbird_group_channel_78338898_e2a68b0eeff0b8881e19c59a6d8ea5191e9bf08c,2022-12-31,2022-09-04,119.0,17.0,1987.0,116.88,9.0,1.0,10.0,10.0,조잘조잘  비서
sendbird_group_channel_78349338_c3f5e0989c076db46ea59d80a8aacf50e4345a42,2023-01-20,2022-09-04,139.0,20.0,1700.0,85.0,87.0,0.0,0.0,0.0,요디딛
sendbird_group_channel_78356351_b06e27122b94186ab46d1f16854d266d86929c58,2022-12-16,2022-09-04,104.0,15.0,835.0,55.67,60.0,0.0,0.0,0.0,양핼
sendbird_group_channel_78366590_ce2924b76ab0d48c4a9810c2a120d2df8ef88aaf,2022-11-08,2022-11-08,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
sendbird_group_channel_78392100_959dc9d03f665d592efa6ba33e25f74f6111342e,2022-09-19,2022-09-15,5.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,잠옷냥
sendbird_group_channel_78432794_b4a039073b0206456a202baa2da17c2fe6126467,2022-09-11,2022-09-04,8.0,2.0,151.0,75.5,150.0,0.0,0.0,0.0,
sendbird_group_channel_78538034_f0bd9af8a926d6fbcc0e42ea7bb46eb70859e7b7,2023-01-20,2022-09-04,139.0,20.0,461.0,23.05,11.0,20.0,2018.0,100.9,빰므
sendbird_group_channel_78544031_54591695c86d7e141a9260ab866fdc2ff5b77a28,2022-11-05,2022-10-08,29.0,5.0,3.0,0.6,2.0,0.0,0.0,0.0,
sendbird_group_channel_78784177_64c038d6b10d006bc42a9c3043f657f8881bf0a2,2023-01-17,2022-10-02,108.0,16.0,44.0,2.75,5.0,0.0,0.0,0.0,뎰즈
sendbird_group_channel_78913773_4f551dd52a8739ceb34c7cb00f120a16d5a7b5f7,2022-11-24,2022-09-08,78.0,12.0,45.0,3.75,3.0,0.0,0.0,0.0,비경
sendbird_group_channel_79022644_6df748a81cc855dc5ddec333b54e3f134527e974,2022-10-30,2022-10-30,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,기마흥
sendbird_group_channel_79027836_5a08868668aa809c5ce1911a74268d2ea395c4f2,2023-01-20,2022-09-04,139.0,20.0,1685.0,84.25,5.0,0.0,0.0,0.0,귤달아
sendbird_group_channel_79054706_65d838fe1f1801dbcab0e127181af63a3da17b42,2023-01-15,2022-10-13,95.0,14.0,24.0,1.71,2.0,0.0,0.0,0.0,유잼이
sendbird_group_channel_79328169_4901c07231f34c293d56891d1944aac5d0aa9f32,2022-10-29,2022-09-23,37.0,6.0,3.0,0.5,2.0,0.0,0.0,0.0,하유_별
sendbird_group_channel_79596256_1c6ec4c6c1d8e591079c28be1bf3f44649e10aae,2022-11-09,2022-11-09,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,루아나
sendbird_group_channel_79703903_0c72b682880643b5cdb80d481e06570f6868d509,2023-01-12,2022-09-28,107.0,16.0,8.0,0.5,1.0,0.0,0.0,0.0,
sendbird_group_channel_79941484_ede559ed875fb7b8374eb19662cdc59a1bfb3911,2022-12-02,2022-09-07,87.0,13.0,1189.0,91.46,39.0,12.0,4820.0,401.7,리믿
sendbird_group_channel_80022771_7eb987726cff2811daa32c05368db8b7acc550c1,2023-01-20,2022-09-16,127.0,19.0,10288.0,541.47,298.0,6.0,870.0,145.0,열밍
sendbird_group_channel_80059386_0ccf924e015f6706f0d33263e7b6576d6fb9a700,2022-09-09,2022-09-06,4.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,치비
sendbird_group_channel_80721305_ed669a466e9aea97ede4a9e41594eb1fcff88e07,2022-09-23,2022-09-08,16.0,3.0,2.0,0.67,1.0,0.0,0.0,0.0,박선지
sendbird_group_channel_80793691_579bc292e37ff2b3a788c44117ed4f8a2dd743d9,2022-09-21,2022-09-21,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,유다희
sendbird_group_channel_81448328_600eced63d27194b9a03d892d6780621881ad6df,2023-01-20,2022-09-04,139.0,20.0,1013.0,50.65,47.0,0.0,0.0,0.0,조잘조잘  비서
sendbird_group_channel_81517980_bdfb0081876dd44d565af1e98e524c0dc8242104,2022-12-20,2022-09-04,108.0,16.0,49.0,3.06,5.0,0.0,0.0,0.0,참다래
sendbird_group_channel_81602152_ef299b76e9047ec2ba0b03f848c4c175018f4c0f,2022-10-29,2022-09-21,39.0,6.0,2.0,0.33,1.0,0.0,0.0,0.0,
sendbird_group_channel_82181207_d82c30dc2e9d0f38746340f1376e88443bf564a1,2023-01-19,2022-09-04,138.0,20.0,170.0,8.5,4.0,0.0,0.0,0.0,옐링
sendbird_group_channel_82333993_7fe5b9c11092fdc107a23a6dcb482634eb75b3da,2023-01-20,2022-09-04,139.0,20.0,19879.0,993.95,1029.0,349.0,7660.0,21.9,🍒체리쉬_윤호림
sendbird_group_channel_82336139_dc97c0b3b177072e91bf628625d5fa7539db532a,2023-01-20,2022-09-04,139.0,20.0,24422.0,1221.1,1919.0,631.0,15746.0,25.0,🍒체리쉬_설 윤
sendbird_group_channel_82337532_c81ea37759a4761f4f6989e5f0f170f2e7a723fd,2023-01-20,2022-09-04,139.0,20.0,21357.0,1067.85,1430.0,451.0,9007.0,20.0,🍒체리쉬_반이안
