user_nickname,churn_proba
구독,0.9380282448234917
가가가가가가가가가가가가가가가가가가가가,0.9210402743794255
백오105105,0.7957661375858398
아봉둥이,0.7705576496493847
사뚜,0.6924433260347986
뽀순,0.6373289599996318
양파지니,0.6290910768229663
E효,0.6192460216895752
한울팍,0.6160215348944938
승욱이,0.6057771670812044
메메,0.5723545260082263
유앵,0.5500636121423337
라르하스,0.5488861375160186
랄라숑,0.5097494566956351
도하,0.46204282136777136
로나딩,0.45676757539325447
김토땅,0.43862407260375447
귤달아,0.4383820204867438
따스히,0.4286086714230002
👿르릉이,0.4212312003445649
아잉츄,0.4117295866446878
검은토끼,0.40616697325546924
건담__,0.40607053945144245
박별,0.39819993810972554
🔮뉸뉴,0.39782149036369985
아로,0.37451501296305256
GamZae BaW Lee SeonW,0.3639315658119821
아른님,0.3576485409690332
오디르,0.3366501714227386
피네님,0.334045514010665
바나컁,0.32482372942764015
❤️초이랑CHOIRANG❤️,0.31423533143134785
클녕,0.3101918292609557
륭찌🙊,0.30846246845095315
밍듀,0.3071883986503868
우히힛,0.3062332401565249
어뮤저,0.3047338950803625
로복,0.30019295617617364
쎄랑,0.2992927606165281
료아,0.2992826994013834
마녀페퍼,0.29717595227860233
[ 🍒체리립스🍒 ]POTTS,0.29503337636097265
캐니,0.2743025033285173
위즐리어카,0.2725559596258431
홍구리_official,0.2716147194913586
달비,0.26776039371402227
이솝,0.263782539774537
LAO(라오),0.26062681939633087
대마왕,0.2564048938972371
네므님,0.2559182289069712
김설하,0.24593921254858722
해까닥여울이,0.2368833046528604
재미있다ㅎ (jaemi_fun),0.2365023861048576
백설양,0.22704109529323074
가스맨,0.22652560954246942
천사공,0.2245552209026008
후__,0.22252979379647445
양이서,0.22138858754542035
봄미,0.21891717424673623
씽구,0.21841723562492904
흰나비,0.21003797029432875
바베,0.20898051849385432
모구,0.20070682246475827
일일,0.19812064570912685
리요치,0.19178929222603025
한아련,0.18955604439771603
굥이,0.1880905601163482
뀨알2,0.18210735068401598
진라면 순한맛,0.18192532997514738
조잘조잘_비서,0.1803700216367554
은하윤,0.1783588815332132
네넴이,0.17720101104724564
쭈야,0.17668861897820323
히잉따,0.16907531133513484
이아깽,0.16523320958301912
로즈쨈,0.16131808874082776
애츄,0.1530652966051066
뚜뚜뚜도,0.15259951900704444
온울,0.15200105171855996
넴케,0.1513877151504037
로라슈,0.1503773149334653
윤하빈,0.1487595024272018
아톰,0.14800371305898272
🖤기래민,0.1461624997667149
히데예요,0.14281331840697437
홍세비,0.1409535032629844
윤우리,0.14005863301836194
갱맘,0.13958658740159383
오분이,0.1386269956295156
유다히__,0.13025120041463437
꾸야,0.11973118595993977
유완설,0.11932946587347415
고말숙,0.11763009169028169
단아몽,0.1170423518508877
서2,0.11100828096719584
찡스,0.11065773921548154
빈서아,0.10908320326010575
앙쟈,0.10834378705285379
